,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility
0,-388800.0,0.30800000000000005,-388710.59999990463,-389127.0,-3.7720000000000056,-1.8359999999999985,-1.8880000000000052,-3.279999999999994,-3.446999999999999
1,-302400.0,-0.2719999999999999,-302321.59999990463,-302661.0,2.4479999999999933,0.31400000000000006,1.641999999999996,1.730000000000004,1.043000000000001
2,-216000.0,0.04800000000000004,-215935.59999990463,-216193.0,3.2379999999999924,7.553999999999995,2.0919999999999987,3.5700000000000003,1.4430000000000005
3,-129600.0,-0.22199999999999992,-129553.59999990463,-129722.0,3.637999999999991,-1.936,5.731999999999999,4.300000000000004,1.2330000000000005
4,-43200.0,-0.3819999999999999,-43174.59999990463,-43248.0,-2.0220000000000056,-12.386000000000003,-7.008000000000003,-1.6299999999999955,1.4430000000000005
5,43200.0,0.1080000000000001,43201.40000009537,43228.0,-8.952000000000009,-6.146000000000001,-10.978000000000002,-9.669999999999998,1.4430000000000005
6,129600.0,0.13800000000000012,129573.40000009537,129707.0,-3.362000000000009,1.073999999999998,-4.278000000000002,-2.219999999999999,-2.536999999999999
7,216000.0,0.038000000000000034,215942.40000009537,216188.0,2.7379999999999924,3.573999999999998,4.101999999999997,2.020000000000003,0.4930000000000003
8,302400.0,0.2680000000000001,302308.40000009537,302671.0,2.2179999999999893,3.513999999999996,5.351999999999997,2.0700000000000003,-2.2969999999999993
9,388800.0,-0.03199999999999992,388670.40000009537,389157.0,3.8279999999999887,6.274000000000001,5.231999999999999,3.1099999999999994,1.1830000000000007
