,Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
0,1451602800.0,4.197,1.199,10,175,3500,1,4000,5552,1250719200.0,45.0
1,1451689200.0,2.099,0.600,10,175,3500,1,4000,5552,1250719200.0,45.0
2,1451775600.0,3.042,0.869,10,175,3500,1,4000,5552,1250719200.0,45.0
3,1451862000.0,1.419,0.405,10,175,3500,1,4000,5552,1250719200.0,45.0
4,1451948400.0,0.562,0.161,10,175,3500,1,4000,5552,1250719200.0,45.0
5,1452034800.0,3.111,0.889,10,175,3500,1,4000,5552,1250719200.0,45.0
6,1452121200.0,0.208,0.059,10,175,3500,1,4000,5552,1250719200.0,45.0
7,1452207600.0,10.210,2.917,10,175,3500,1,4000,5552,1250719200.0,45.0
8,1452294000.0,2.515,0.719,10,175,3500,1,4000,5552,1250719200.0,45.0
9,1452380400.0,9.515,2.719,10,175,3500,1,4000,5552,1250719200.0,45.0
10,1452466800.0,0.421,0.120,10,175,3500,1,4000,5552,1250719200.0,45.0
11,1452553200.0,2.677,0.765,10,175,3500,1,4000,5552,1250719200.0,45.0
12,1452639600.0,1.408,0.402,10,175,3500,1,4000,5552,1250719200.0,45.0
13,1452726000.0,1.345,0.384,10,175,3500,1,4000,5552,1250719200.0,45.0
14,1452812400.0,0.861,0.246,10,175,3500,1,4000,5552,1250719200.0,45.0
15,1452898800.0,7.267,2.076,10,175,3500,1,4000,5552,1250719200.0,45.0
16,1452985200.0,7.330,2.094,10,175,3500,1,4000,5552,1250719200.0,45.0
17,1453071600.0,9.746,2.785,10,175,3500,1,4000,5552,1250719200.0,45.0
18,1453158000.0,10.052,2.872,10,175,3500,1,4000,5552,1250719200.0,45.0
19,1453244400.0,1.585,0.453,10,175,3500,1,4000,5552,1250719200.0,45.0
20,1453330800.0,4.175,1.193,10,175,3500,1,4000,5552,1250719200.0,45.0
21,1453417200.0,6.384,1.824,10,175,3500,1,4000,5552,1250719200.0,45.0
22,1453503600.0,0.873,0.249,10,175,3500,1,4000,5552,1250719200.0,45.0
23,1453590000.0,0.382,0.109,10,175,3500,1,4000,5552,1250719200.0,45.0
24,1453676400.0,12.132,3.466,10,175,3500,1,4000,5552,1250719200.0,45.0
