,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude,month
30,1517353200.0,0.83,29958.0,62511.0,48.42,34.48,35.51,48.42,4.82,6.0221493,52.2132321,1.0
29,1517266800.0,0.86,30050.0,62400.0,45.31,36.54,35.95,45.31,5.36,6.0221493,52.2132321,1.0
28,1517180400.0,0.94,30139.0,62289.0,50.63,35.95,41.42,51.05,5.59,6.0221493,52.2132321,1.0
27,1517094000.0,0.95,30227.0,62178.0,51.37,49.62,42.0,51.37,4.47,6.0221493,52.2132321,1.0
26,1517007600.0,0.92,30312.0,62068.0,44.28,41.44,40.01,44.28,4.72,6.0221493,52.2132321,1.0
25,1516921200.0,0.95,30395.0,61959.0,44.16,40.01,39.58,44.16,1.92,6.0221493,52.2132321,1.0
24,1516834800.0,0.88,30475.0,61851.0,48.47,39.58,44.02,48.47,6.22,6.0221493,52.2132321,1.0
23,1516748400.0,0.98,30554.0,61743.0,57.09,44.8,46.9,57.09,5.49,6.0221493,52.2132321,1.0
22,1516662000.0,0.98,30630.0,61636.0,48.62,48.3,42.12,50.1,5.32,6.0221493,52.2132321,1.0
21,1516575600.0,0.94,30703.0,61531.0,46.35,42.12,35.95,46.35,4.36,6.0221493,52.2132321,1.0
20,1516489200.0,0.78,30774.0,61426.0,43.22,35.95,32.75,43.22,5.84,6.0221493,52.2132321,1.0
19,1516402800.0,0.86,30842.0,61323.0,38.2,32.75,33.76,38.2,4.85,6.0221493,52.2132321,1.0
18,1516316400.0,0.71,30907.0,61221.0,42.13,33.76,34.66,42.13,5.38,6.0221493,52.2132321,1.0
17,1516230000.0,0.83,30970.0,61120.0,48.67,34.66,34.8,48.67,5.8,6.0221493,52.2132321,1.0
16,1516143600.0,0.78,31030.0,61021.0,40.5,37.63,34.75,40.62,5.85,6.0221493,52.2132321,1.0
15,1516057200.0,0.77,31088.0,60923.0,42.13,34.75,37.05,43.99,6.22,6.0221493,52.2132321,1.0
14,1515970800.0,0.87,31142.0,60827.0,43.21,41.21,33.91,44.54,5.48,6.0221493,52.2132321,1.0
13,1515884400.0,0.86,31194.0,60732.0,40.4,33.8,33.8,40.4,6.01,6.0221493,52.2132321,1.0
12,1515798000.0,0.98,31242.0,60640.0,42.85,35.81,38.54,42.85,3.39,6.0221493,52.2132321,1.0
11,1515711600.0,0.99,31288.0,60549.0,40.76,38.88,37.85,40.76,2.63,6.0221493,52.2132321,1.0
