,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude,month
0,1356994800.0,0.64,31722.0,59969.0,47.2,40.59,41.3,48.24,5.8,5.1841395,52.0296117,1.0
1,1357081200.0,0.57,31712.0,60034.0,46.84,44.87,40.39,46.84,5.99,5.1841395,52.0296117,1.0
2,1357167600.0,0.87,31699.0,60102.0,51.6,49.01,45.03,51.6,4.53,5.1841395,52.0296117,1.0
3,1357254000.0,0.95,31682.0,60172.0,49.44,46.7,47.32,50.03,4.15,5.1841395,52.0296117,1.0
4,1357340400.0,0.85,31661.0,60245.0,47.32,45.73,45.57,47.32,4.08,5.1841395,52.0296117,1.0
5,1357426800.0,0.79,31638.0,60320.0,49.96,45.24,45.67,49.96,4.28,5.1841395,52.0296117,1.0
6,1357513200.0,0.93,31611.0,60398.0,46.6,42.88,43.23,46.6,2.17,5.1841395,52.0296117,1.0
7,1357599600.0,0.95,31581.0,60478.0,46.77,43.51,42.88,46.77,3.79,5.1841395,52.0296117,1.0
8,1357686000.0,0.81,31548.0,60561.0,45.24,40.93,41.4,45.24,3.26,5.1841395,52.0296117,1.0
9,1357772400.0,0.73,31511.0,60645.0,45.84,30.21,38.84,45.84,6.03,5.1841395,52.0296117,1.0
10,1357858800.0,0.76,31472.0,60732.0,37.29,32.0,30.21,37.29,6.17,5.1841395,52.0296117,1.0
11,1357945200.0,0.68,31429.0,60821.0,36.36,25.24,29.55,36.36,6.15,5.1841395,52.0296117,1.0
12,1358031600.0,0.6,31384.0,60911.0,33.43,22.92,25.24,33.43,6.22,5.1841395,52.0296117,1.0
13,1358118000.0,0.76,31335.0,61004.0,30.1,27.13,22.52,30.1,5.59,5.1841395,52.0296117,1.0
14,1358204400.0,0.75,31284.0,61098.0,28.07,18.39,26.45,28.51,3.65,5.1841395,52.0296117,1.0
15,1358290800.0,0.9,31229.0,61194.0,26.39,19.47,18.39,26.39,2.67,5.1841395,52.0296117,1.0
16,1358377200.0,0.84,31172.0,61292.0,24.75,24.1,19.57,24.75,2.05,5.1841395,52.0296117,1.0
