,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility
46,1487199600,0.0966485014,28505,64603,-9.6198910082,-4.9140326975,-5.5743324251,-9.808773842,-0.5456675749
47,1487286000,0.1866485014,28384,64716,-10.8598910082,-9.2340326975,-4.1143324251,-11.048773842,-0.0756675749
48,1487372400,0.3066485014,28262,64829,-10.0798910082,-7.7540326975,-8.6643324251,-10.268773842,-3.9056675749
49,1487458800,0.0666485014,28138,64942,-8.6698910082,-3.7140326975,-7.1843324251,-8.858773842,-1.1456675749
50,1487545200,0.2466485014,28014,65054,-7.9498910082,-1.8040326975,-2.2043324251,-7.478773842,-1.2756675749
51,1487631600,-0.0533514986,27888,65166,-6.6498910082,0.2159673025,-1.2343324251,-6.838773842,0.4143324251
52,1487718000,0.0066485014,27761,65278,-8.2398910082,-2.8840326975,-1.2643324251,-8.248773842,-0.1756675749
53,1487804400,0.2666485014,27634,65390,-7.9198910082,-9.1740326975,-6.9743324251,-8.108773842,-0.1156675749
54,1487890800,-0.3033514986,27505,65501,-11.6298910082,-11.2640326975,-10.5543324251,-11.818773842,0.6343324251
55,1487977200,0.1766485014,27375,65612,-10.3398910082,-3.1440326975,-10.6943324251,-10.498773842,0.6343324251
56,1488063600,0.2866485014,27245,65722,-7.3998910082,1.2659673025,-2.5743324251,-7.358773842,0.1243324251
57,1488150000,0.1166485014,27113,65832,-7.9598910082,-10.3640326975,-4.3643324251,-7.268773842,0.5043324251
58,1488236400,-0.0633514986,26981,65942,-14.8798910082,-8.5640326975,-9.7943324251,-15.068773842,0.3443324251
59,1488322800,0.1066485014,26848,66052,-10.5698910082,-7.3340326975,-7.9943324251,-10.758773842,0.3943324251
60,1488409200,0.0966485014,26714,66161,-11.3198910082,-11.1940326975,-6.7643324251,-11.508773842,0.0843324251
61,1488495600,0.1666485014,26579,66270,-10.9198910082,-2.2540326975,-10.6243324251,-10.638773842,0.6343324251
62,1488582000,0.1366485014,26444,66378,-2.7698910082,-3.7640326975,-2.0243324251,-2.958773842,0.6343324251
63,1488668400,-0.0033514986,26308,66486,-6.7698910082,-8.9440326975,-5.2543324251,-6.958773842,0.5543324251
64,1488754800,-0.0333514986,26171,66594,-8.5298910082,-5.1140326975,-8.3743324251,-8.718773842,0.0843324251
65,1488841200,0.2266485014,26034,66701,-9.7098910082,-7.7840326975,-4.7943324251,-9.898773842,-0.1756675749
66,1488927600,0.1566485014,25896,66809,-8.2798910082,-7.6140326975,-7.2143324251,-8.468773842,-0.5656675749
67,1489014000,0.1566485014,25758,66916,-4.4298910082,-11.8340326975,-7.0443324251,-4.618773842,-1.1456675749
68,1489100400,0.0266485014,25619,67022,-5.4398910082,-8.4440326975,-11.2643324251,-5.628773842,0.5443324251
69,1489186800,0.1466485014,25480,67128,-3.2298910082,-6.7740326975,-7.8743324251,-3.418773842,0.6343324251
70,1489273200,0.1366485014,25340,67235,0.9001089918,-10.8240326975,-6.2043324251,0.711226158,0.6343324251
71,1489359600,-0.0833514986,25200,67340,-4.0898910082,-5.8140326975,-10.2543324251,-4.278773842,0.5143324251
72,1489446000,0.0966485014,25060,67446,-2.7798910082,-2.0140326975,-5.2443324251,-2.968773842,-0.0256675749
73,1489532400,0.0766485014,24920,67551,-0.8598910082,-7.5440326975,-4.5243324251,-1.048773842,0.6343324251
74,1489618800,0.0766485014,24779,67656,3.6501089918,-2.7540326975,-6.9743324251,3.461226158,0.5743324251
75,1489705200,-0.1433514986,24638,67761,-8.1898910082,-2.6940326975,-2.1843324251,-8.378773842,0.3743324251
76,1489791600,0.2166485014,24496,67866,-6.9798910082,-0.5340326975,-1.7443324251,-7.168773842,-0.7056675749
77,1489878000,0.1866485014,24355,67971,-2.7198910082,2.3759673025,1.3456675749,-2.908773842,0.0043324251
78,1489964400,0.1966485014,24214,68075,-6.0298910082,-3.2140326975,0.9256675749,-6.218773842,-0.1856675749
79,1490050800,-0.2033514986,24072,68179,-9.0498910082,-11.1940326975,-5.1743324251,-9.238773842,0.6343324251
80,1490137200,0.0066485014,23930,68283,-3.5198910082,-8.5840326975,-10.6243324251,-3.708773842,0.6343324251
81,1490223600,-0.0733514986,23789,68387,-1.4298910082,-7.6040326975,-8.0143324251,-1.618773842,0.6343324251
82,1490310000,-0.0733514986,23647,68491,-1.5798910082,-8.3640326975,-7.0343324251,-1.768773842,0.5743324251
83,1490396400,0.1166485014,23505,68595,-1.4498910082,-6.2040326975,-7.7943324251,-1.638773842,0.6343324251
84,1490482800,-0.0033514986,23364,68699,-4.4798910082,-7.7840326975,-5.6343324251,-4.668773842,0.6343324251
85,1490565600,0.1166485014,26827,72397,6.6901089918,-8.1540326975,-7.2143324251,6.501226158,0.4743324251
86,1490652000,0.1066485014,26686,72501,8.9901089918,3.0159673025,-7.5843324251,8.801226158,0.6343324251
87,1490738400,0.0566485014,26545,72604,-0.7298910082,4.9759673025,3.5856675749,-0.918773842,0.6343324251
88,1490824800,0.0066485014,26404,72708,12.5501089918,6.3959673025,5.5456675749,12.361226158,0.6343324251
89,1490911200,-0.0133514986,26263,72812,11.8801089918,-0.1040326975,6.8756675749,11.691226158,0.6343324251
90,1490997600,0.0066485014,26123,72915,-1.5998910082,-2.3740326975,0.4656675749,-1.788773842,0.0943324251
91,1491084000,-0.0433514986,25983,73019,2.8401089918,-1.7540326975,-1.8043324251,2.651226158,-0.2856675749
92,1491170400,0.3366485014,25843,73122,-1.2598910082,-4.8140326975,-1.1843324251,-1.448773842,0.6043324251
93,1491256800,-0.1733514986,25704,73226,2.7701089918,-1.5440326975,-4.2443324251,2.581226158,-0.0256675749
94,1491343200,-0.0633514986,25565,73330,-3.8298910082,-3.5440326975,-1.2343324251,-4.018773842,0.2043324251
95,1491429600,0.0666485014,25426,73433,-5.6998910082,-3.5840326975,-3.0143324251,-5.888773842,0.6343324251
96,1491516000,0.0366485014,25288,73537,0.1301089918,0.1959673025,-3.0143324251,-0.058773842,0.6343324251
97,1491602400,0.0866485014,25151,73641,1.0101089918,-5.5540326975,0.0656675749,0.821226158,0.6343324251
98,1491688800,0.0966485014,25014,73745,11.8101089918,1.7859673025,-4.9843324251,11.621226158,0.2943324251
99,1491775200,-0.0633514986,24878,73848,-3.3998910082,-4.8540326975,-1.6243324251,0.981226158,0.6343324251
100,1491861600,-0.1633514986,24742,73952,-1.3898910082,0.8159673025,-4.2843324251,-1.578773842,0.6343324251
