Postcode:,Year:,Url:
1078,2016,https://pvoutput.org/aggregate.jsp?id=54314&sid=49389&v=3&t=m
1078,2017,https://pvoutput.org/aggregate.jsp?id=54314&sid=49389&v=3&t=m
1103,2016,https://pvoutput.org/aggregate.jsp?id=6694&sid=10308&v=0&t=m
1103,2017,https://pvoutput.org/aggregate.jsp?id=6694&sid=10308&v=0&t=m
1447,2014,https://pvoutput.org/aggregate.jsp?id=19309&sid=17164&v=0&t=m
1447,2015,https://pvoutput.org/aggregate.jsp?id=19309&sid=17164&v=0&t=m
1447,2016,https://pvoutput.org/aggregate.jsp?id=19309&sid=17164&v=0&t=m
1447,2017,https://pvoutput.org/aggregate.jsp?id=19309&sid=17164&v=0&t=m
