Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
1454194800.0,1.819,0.500,20,182,7410,5,6600,7325,1047596400.0,34.0
1454108400.0,0.582,0.160,20,182,7410,5,6600,7325,1047596400.0,34.0
1454022000.0,0.870,0.239,20,182,7410,5,6600,7325,1047596400.0,34.0
1453935600.0,6.556,1.801,20,182,7410,5,6600,7325,1047596400.0,34.0
1453849200.0,0.365,0.100,20,182,7410,5,6600,7325,1047596400.0,34.0
1453762800.0,3.002,0.825,20,182,7410,5,6600,7325,1047596400.0,34.0
1453676400.0,5.566,1.529,20,182,7410,5,6600,7325,1047596400.0,34.0
1453590000.0,0.380,0.104,20,182,7410,5,6600,7325,1047596400.0,34.0
1453503600.0,1.739,0.478,20,182,7410,5,6600,7325,1047596400.0,34.0
1453417200.0,4.000,1.099,20,182,7410,5,6600,7325,1047596400.0,34.0
1453330800.0,0.905,0.249,20,182,7410,5,6600,7325,1047596400.0,34.0
1453244400.0,2.850,0.783,20,182,7410,5,6600,7325,1047596400.0,34.0
1453158000.0,3.727,1.024,20,182,7410,5,6600,7325,1047596400.0,34.0
1453071600.0,4.993,1.372,20,182,7410,5,6600,7325,1047596400.0,34.0
1452985200.0,3.305,0.908,20,182,7410,5,6600,7325,1047596400.0,34.0
1452898800.0,1.926,0.529,20,182,7410,5,6600,7325,1047596400.0,34.0
1452812400.0,0.615,0.169,20,182,7410,5,6600,7325,1047596400.0,34.0
1452726000.0,0.681,0.187,20,182,7410,5,6600,7325,1047596400.0,34.0
1452639600.0,1.882,0.517,20,182,7410,5,6600,7325,1047596400.0,34.0
1452553200.0,1.252,0.344,20,182,7410,5,6600,7325,1047596400.0,34.0
1452466800.0,0.458,0.126,20,182,7410,5,6600,7325,1047596400.0,34.0
1452380400.0,4.159,1.143,20,182,7410,5,6600,7325,1047596400.0,34.0
1452294000.0,1.709,0.470,20,182,7410,5,6600,7325,1047596400.0,34.0
1452207600.0,3.318,0.912,20,182,7410,5,6600,7325,1047596400.0,34.0
1452121200.0,0.497,0.137,20,182,7410,5,6600,7325,1047596400.0,34.0
1452034800.0,0.521,0.143,20,182,7410,5,6600,7325,1047596400.0,34.0
1451948400.0,0.521,0.143,20,182,7410,5,6600,7325,1047596400.0,34.0
1451862000.0,0.257,0.071,20,182,7410,5,6600,7325,1047596400.0,34.0
1451775600.0,1.065,0.293,20,182,7410,5,6600,7325,1047596400.0,34.0
1451689200.0,0.288,0.079,20,182,7410,5,6600,7325,1047596400.0,34.0
1451602800.0,1.895,0.521,20,182,7410,5,6600,7325,1047596400.0,34.0
1456700400.0,13.520,3.714,20,182,7410,5,6600,7325,1047596400.0,34.0
1456614000.0,13.240,3.637,20,182,7410,5,6600,7325,1047596400.0,34.0
1456527600.0,13.273,3.646,20,182,7410,5,6600,7325,1047596400.0,34.0
1456441200.0,5.258,1.445,20,182,7410,5,6600,7325,1047596400.0,34.0
1456354800.0,7.264,1.996,20,182,7410,5,6600,7325,1047596400.0,34.0
1456268400.0,8.700,2.390,20,182,7410,5,6600,7325,1047596400.0,34.0
1456182000.0,8.248,2.266,20,182,7410,5,6600,7325,1047596400.0,34.0
1456095600.0,1.608,0.442,20,182,7410,5,6600,7325,1047596400.0,34.0
1456009200.0,0.798,0.219,20,182,7410,5,6600,7325,1047596400.0,34.0
1455922800.0,1.298,0.357,20,182,7410,5,6600,7325,1047596400.0,34.0
1455836400.0,7.076,1.944,20,182,7410,5,6600,7325,1047596400.0,34.0
1455750000.0,5.467,1.502,20,182,7410,5,6600,7325,1047596400.0,34.0
1455663600.0,11.205,3.078,20,182,7410,5,6600,7325,1047596400.0,34.0
1455577200.0,11.234,3.086,20,182,7410,5,6600,7325,1047596400.0,34.0
1455490800.0,6.925,1.902,20,182,7410,5,6600,7325,1047596400.0,34.0
1455404400.0,0.075,0.021,20,182,7410,5,6600,7325,1047596400.0,34.0
1455318000.0,6.602,1.814,20,182,7410,5,6600,7325,1047596400.0,34.0
1455231600.0,4.308,1.184,20,182,7410,5,6600,7325,1047596400.0,34.0
1455145200.0,7.151,1.965,20,182,7410,5,6600,7325,1047596400.0,34.0
1455058800.0,3.595,0.988,20,182,7410,5,6600,7325,1047596400.0,34.0
1454972400.0,1.007,0.277,20,182,7410,5,6600,7325,1047596400.0,34.0
1454886000.0,3.750,1.030,20,182,7410,5,6600,7325,1047596400.0,34.0
1454799600.0,3.818,1.049,20,182,7410,5,6600,7325,1047596400.0,34.0
1454713200.0,1.180,0.324,20,182,7410,5,6600,7325,1047596400.0,34.0
1454626800.0,1.333,0.366,20,182,7410,5,6600,7325,1047596400.0,34.0
1454540400.0,0.644,0.177,20,182,7410,5,6600,7325,1047596400.0,34.0
1454454000.0,5.364,1.474,20,182,7410,5,6600,7325,1047596400.0,34.0
1454367600.0,1.365,0.375,20,182,7410,5,6600,7325,1047596400.0,34.0
1454281200.0,0.994,0.273,20,182,7410,5,6600,7325,1047596400.0,34.0
1459375200.0,8.511,2.338,20,182,7410,5,6600,7325,1047596400.0,34.0
1459288800.0,13.262,3.643,20,182,7410,5,6600,7325,1047596400.0,34.0
1459202400.0,9.124,2.507,20,182,7410,5,6600,7325,1047596400.0,34.0
1459116000.0,6.360,1.747,20,182,7410,5,6600,7325,1047596400.0,34.0
1459033200.0,11.307,3.106,20,182,7410,5,6600,7325,1047596400.0,34.0
1458946800.0,16.880,4.637,20,182,7410,5,6600,7325,1047596400.0,34.0
1458860400.0,2.630,0.723,20,182,7410,5,6600,7325,1047596400.0,34.0
1458774000.0,3.263,0.896,20,182,7410,5,6600,7325,1047596400.0,34.0
1458687600.0,7.602,2.088,20,182,7410,5,6600,7325,1047596400.0,34.0
1458601200.0,6.135,1.685,20,182,7410,5,6600,7325,1047596400.0,34.0
1458514800.0,3.473,0.954,20,182,7410,5,6600,7325,1047596400.0,34.0
1458428400.0,3.913,1.075,20,182,7410,5,6600,7325,1047596400.0,34.0
1458342000.0,3.361,0.923,20,182,7410,5,6600,7325,1047596400.0,34.0
1458255600.0,1.860,0.511,20,182,7410,5,6600,7325,1047596400.0,34.0
1458169200.0,15.857,4.356,20,182,7410,5,6600,7325,1047596400.0,34.0
1458082800.0,13.023,3.578,20,182,7410,5,6600,7325,1047596400.0,34.0
1457996400.0,2.510,0.690,20,182,7410,5,6600,7325,1047596400.0,34.0
1457910000.0,15.555,4.273,20,182,7410,5,6600,7325,1047596400.0,34.0
1457823600.0,15.333,4.212,20,182,7410,5,6600,7325,1047596400.0,34.0
1457737200.0,13.854,3.806,20,182,7410,5,6600,7325,1047596400.0,34.0
1457650800.0,7.476,2.054,20,182,7410,5,6600,7325,1047596400.0,34.0
1457564400.0,12.571,3.454,20,182,7410,5,6600,7325,1047596400.0,34.0
1457478000.0,7.906,2.172,20,182,7410,5,6600,7325,1047596400.0,34.0
1457391600.0,5.401,1.484,20,182,7410,5,6600,7325,1047596400.0,34.0
1457305200.0,9.768,2.684,20,182,7410,5,6600,7325,1047596400.0,34.0
1457218800.0,7.870,2.162,20,182,7410,5,6600,7325,1047596400.0,34.0
1457132400.0,9.229,2.535,20,182,7410,5,6600,7325,1047596400.0,34.0
1457046000.0,0.746,0.205,20,182,7410,5,6600,7325,1047596400.0,34.0
1456959600.0,9.118,2.505,20,182,7410,5,6600,7325,1047596400.0,34.0
1456873200.0,8.301,2.280,20,182,7410,5,6600,7325,1047596400.0,34.0
1456786800.0,2.690,0.739,20,182,7410,5,6600,7325,1047596400.0,34.0
1461967200.0,12.801,3.517,20,182,7410,5,6600,7325,1047596400.0,34.0
1461880800.0,7.411,2.036,20,182,7410,5,6600,7325,1047596400.0,34.0
1461794400.0,11.849,3.255,20,182,7410,5,6600,7325,1047596400.0,34.0
1461708000.0,12.502,3.435,20,182,7410,5,6600,7325,1047596400.0,34.0
1461621600.0,9.435,2.592,20,182,7410,5,6600,7325,1047596400.0,34.0
1461535200.0,7.419,2.038,20,182,7410,5,6600,7325,1047596400.0,34.0
1461448800.0,17.079,4.692,20,182,7410,5,6600,7325,1047596400.0,34.0
1461362400.0,13.460,3.698,20,182,7410,5,6600,7325,1047596400.0,34.0
1461276000.0,15.390,4.228,20,182,7410,5,6600,7325,1047596400.0,34.0
1461189600.0,21.307,5.854,20,182,7410,5,6600,7325,1047596400.0,34.0
1461103200.0,20.850,5.728,20,182,7410,5,6600,7325,1047596400.0,34.0
1461016800.0,14.035,3.856,20,182,7410,5,6600,7325,1047596400.0,34.0
1460930400.0,9.340,2.566,20,182,7410,5,6600,7325,1047596400.0,34.0
1460844000.0,15.010,4.124,20,182,7410,5,6600,7325,1047596400.0,34.0
1460757600.0,11.413,3.135,20,182,7410,5,6600,7325,1047596400.0,34.0
1460671200.0,5.957,1.637,20,182,7410,5,6600,7325,1047596400.0,34.0
1460584800.0,11.327,3.112,20,182,7410,5,6600,7325,1047596400.0,34.0
1460498400.0,11.341,3.116,20,182,7410,5,6600,7325,1047596400.0,34.0
1460412000.0,12.284,3.375,20,182,7410,5,6600,7325,1047596400.0,34.0
1460325600.0,19.766,5.430,20,182,7410,5,6600,7325,1047596400.0,34.0
1460239200.0,12.115,3.328,20,182,7410,5,6600,7325,1047596400.0,34.0
1460152800.0,12.907,3.546,20,182,7410,5,6600,7325,1047596400.0,34.0
1460066400.0,7.597,2.087,20,182,7410,5,6600,7325,1047596400.0,34.0
1459980000.0,9.461,2.599,20,182,7410,5,6600,7325,1047596400.0,34.0
1459893600.0,4.859,1.335,20,182,7410,5,6600,7325,1047596400.0,34.0
1459807200.0,4.237,1.164,20,182,7410,5,6600,7325,1047596400.0,34.0
1459720800.0,8.883,2.440,20,182,7410,5,6600,7325,1047596400.0,34.0
1459634400.0,11.721,3.220,20,182,7410,5,6600,7325,1047596400.0,34.0
1459548000.0,9.532,2.619,20,182,7410,5,6600,7325,1047596400.0,34.0
1459461600.0,18.328,5.035,20,182,7410,5,6600,7325,1047596400.0,34.0
1464645600.0,13.866,3.809,20,182,7410,5,6600,7325,1047596400.0,34.0
1464559200.0,8.672,2.382,20,182,7410,5,6600,7325,1047596400.0,34.0
1464472800.0,7.866,2.161,20,182,7410,5,6600,7325,1047596400.0,34.0
1464386400.0,14.654,4.026,20,182,7410,5,6600,7325,1047596400.0,34.0
1464300000.0,16.586,4.557,20,182,7410,5,6600,7325,1047596400.0,34.0
1464213600.0,15.887,4.365,20,182,7410,5,6600,7325,1047596400.0,34.0
1464127200.0,5.069,1.393,20,182,7410,5,6600,7325,1047596400.0,34.0
1464040800.0,5.598,1.538,20,182,7410,5,6600,7325,1047596400.0,34.0
1463954400.0,3.333,0.916,20,182,7410,5,6600,7325,1047596400.0,34.0
1463868000.0,5.138,1.412,20,182,7410,5,6600,7325,1047596400.0,34.0
1463781600.0,16.248,4.464,20,182,7410,5,6600,7325,1047596400.0,34.0
1463695200.0,6.526,1.793,20,182,7410,5,6600,7325,1047596400.0,34.0
1463608800.0,12.671,3.481,20,182,7410,5,6600,7325,1047596400.0,34.0
1463522400.0,10.216,2.807,20,182,7410,5,6600,7325,1047596400.0,34.0
1463436000.0,10.822,2.973,20,182,7410,5,6600,7325,1047596400.0,34.0
1463349600.0,11.641,3.198,20,182,7410,5,6600,7325,1047596400.0,34.0
1463263200.0,11.033,3.031,20,182,7410,5,6600,7325,1047596400.0,34.0
1463176800.0,13.537,3.719,20,182,7410,5,6600,7325,1047596400.0,34.0
1463090400.0,22.098,6.071,20,182,7410,5,6600,7325,1047596400.0,34.0
1463004000.0,21.173,5.817,20,182,7410,5,6600,7325,1047596400.0,34.0
1462917600.0,20.744,5.699,20,182,7410,5,6600,7325,1047596400.0,34.0
1462831200.0,9.979,2.741,20,182,7410,5,6600,7325,1047596400.0,34.0
1462744800.0,21.485,5.902,20,182,7410,5,6600,7325,1047596400.0,34.0
1462658400.0,22.629,6.217,20,182,7410,5,6600,7325,1047596400.0,34.0
1462572000.0,20.969,5.761,20,182,7410,5,6600,7325,1047596400.0,34.0
1462485600.0,22.051,6.058,20,182,7410,5,6600,7325,1047596400.0,34.0
1462399200.0,23.094,6.345,20,182,7410,5,6600,7325,1047596400.0,34.0
1462312800.0,22.019,6.049,20,182,7410,5,6600,7325,1047596400.0,34.0
1462226400.0,18.746,5.150,20,182,7410,5,6600,7325,1047596400.0,34.0
1462140000.0,17.901,4.918,20,182,7410,5,6600,7325,1047596400.0,34.0
1462053600.0,18.673,5.130,20,182,7410,5,6600,7325,1047596400.0,34.0
1467237600.0,9.292,2.553,20,182,7410,5,6600,7325,1047596400.0,34.0
1467151200.0,13.329,3.662,20,182,7410,5,6600,7325,1047596400.0,34.0
1467064800.0,15.534,4.268,20,182,7410,5,6600,7325,1047596400.0,34.0
1466978400.0,7.007,1.925,20,182,7410,5,6600,7325,1047596400.0,34.0
1466892000.0,13.353,3.668,20,182,7410,5,6600,7325,1047596400.0,34.0
1466805600.0,6.251,1.717,20,182,7410,5,6600,7325,1047596400.0,34.0
1466719200.0,11.082,3.045,20,182,7410,5,6600,7325,1047596400.0,34.0
1466632800.0,15.479,4.252,20,182,7410,5,6600,7325,1047596400.0,34.0
1466546400.0,15.525,4.265,20,182,7410,5,6600,7325,1047596400.0,34.0
1466460000.0,9.043,2.484,20,182,7410,5,6600,7325,1047596400.0,34.0
1466373600.0,4.360,1.198,20,182,7410,5,6600,7325,1047596400.0,34.0
1466287200.0,17.657,4.851,20,182,7410,5,6600,7325,1047596400.0,34.0
1466200800.0,12.519,3.439,20,182,7410,5,6600,7325,1047596400.0,34.0
1466114400.0,10.461,2.874,20,182,7410,5,6600,7325,1047596400.0,34.0
1466028000.0,11.287,3.101,20,182,7410,5,6600,7325,1047596400.0,34.0
1465941600.0,13.081,3.594,20,182,7410,5,6600,7325,1047596400.0,34.0
1465855200.0,10.781,2.962,20,182,7410,5,6600,7325,1047596400.0,34.0
1465768800.0,10.200,2.802,20,182,7410,5,6600,7325,1047596400.0,34.0
1465682400.0,10.400,2.857,20,182,7410,5,6600,7325,1047596400.0,34.0
1465596000.0,13.876,3.812,20,182,7410,5,6600,7325,1047596400.0,34.0
1465509600.0,19.587,5.381,20,182,7410,5,6600,7325,1047596400.0,34.0
1465423200.0,23.303,6.402,20,182,7410,5,6600,7325,1047596400.0,34.0
1465336800.0,18.995,5.218,20,182,7410,5,6600,7325,1047596400.0,34.0
1465250400.0,17.883,4.913,20,182,7410,5,6600,7325,1047596400.0,34.0
1465164000.0,21.586,5.930,20,182,7410,5,6600,7325,1047596400.0,34.0
1465077600.0,21.987,6.040,20,182,7410,5,6600,7325,1047596400.0,34.0
1464991200.0,20.247,5.562,20,182,7410,5,6600,7325,1047596400.0,34.0
1464904800.0,12.809,3.519,20,182,7410,5,6600,7325,1047596400.0,34.0
1464818400.0,12.402,3.407,20,182,7410,5,6600,7325,1047596400.0,34.0
1464732000.0,15.524,4.265,20,182,7410,5,6600,7325,1047596400.0,34.0
1469916000.0,12.331,3.388,20,182,7410,5,6600,7325,1047596400.0,34.0
1469829600.0,5.579,1.533,20,182,7410,5,6600,7325,1047596400.0,34.0
1469743200.0,10.595,2.911,20,182,7410,5,6600,7325,1047596400.0,34.0
1469656800.0,10.807,2.969,20,182,7410,5,6600,7325,1047596400.0,34.0
1469570400.0,11.633,3.196,20,182,7410,5,6600,7325,1047596400.0,34.0
1469484000.0,11.357,3.120,20,182,7410,5,6600,7325,1047596400.0,34.0
1469397600.0,9.360,2.571,20,182,7410,5,6600,7325,1047596400.0,34.0
1469311200.0,13.385,3.677,20,182,7410,5,6600,7325,1047596400.0,34.0
1469224800.0,15.005,4.122,20,182,7410,5,6600,7325,1047596400.0,34.0
1469138400.0,13.255,3.641,20,182,7410,5,6600,7325,1047596400.0,34.0
1469052000.0,11.571,3.179,20,182,7410,5,6600,7325,1047596400.0,34.0
1468965600.0,17.356,4.768,20,182,7410,5,6600,7325,1047596400.0,34.0
1468879200.0,21.410,5.882,20,182,7410,5,6600,7325,1047596400.0,34.0
1468792800.0,21.869,6.008,20,182,7410,5,6600,7325,1047596400.0,34.0
1468706400.0,17.703,4.863,20,182,7410,5,6600,7325,1047596400.0,34.0
1468620000.0,7.934,2.180,20,182,7410,5,6600,7325,1047596400.0,34.0
1468533600.0,16.794,4.614,20,182,7410,5,6600,7325,1047596400.0,34.0
1468447200.0,12.113,3.328,20,182,7410,5,6600,7325,1047596400.0,34.0
1468360800.0,7.152,1.965,20,182,7410,5,6600,7325,1047596400.0,34.0
1468274400.0,10.307,2.832,20,182,7410,5,6600,7325,1047596400.0,34.0
1468188000.0,11.880,3.264,20,182,7410,5,6600,7325,1047596400.0,34.0
1468101600.0,16.238,4.461,20,182,7410,5,6600,7325,1047596400.0,34.0
1468015200.0,11.409,3.134,20,182,7410,5,6600,7325,1047596400.0,34.0
1467928800.0,7.793,2.141,20,182,7410,5,6600,7325,1047596400.0,34.0
1467842400.0,16.317,4.483,20,182,7410,5,6600,7325,1047596400.0,34.0
1467756000.0,18.229,5.008,20,182,7410,5,6600,7325,1047596400.0,34.0
1467669600.0,8.418,2.313,20,182,7410,5,6600,7325,1047596400.0,34.0
1467583200.0,19.461,5.346,20,182,7410,5,6600,7325,1047596400.0,34.0
1467496800.0,15.793,4.339,20,182,7410,5,6600,7325,1047596400.0,34.0
1467410400.0,13.315,3.658,20,182,7410,5,6600,7325,1047596400.0,34.0
1467324000.0,6.307,1.733,20,182,7410,5,6600,7325,1047596400.0,34.0
1472594400.0,15.871,4.360,20,182,7410,5,6600,7325,1047596400.0,34.0
1472508000.0,15.709,4.316,20,182,7410,5,6600,7325,1047596400.0,34.0
