Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
1327964400.0,1.814,1.512,8,150,1200,2,600,2201,1240610400.0,35.0
1327878000.0,1.648,1.373,8,150,1200,2,600,2201,1240610400.0,35.0
1327791600.0,1.482,1.235,8,150,1200,2,600,2201,1240610400.0,35.0
1327705200.0,1.316,1.097,8,150,1200,2,600,2201,1240610400.0,35.0
1327618800.0,1.150,0.958,8,150,1200,2,600,2201,1240610400.0,35.0
1327532400.0,0.984,0.820,8,150,1200,2,600,2201,1240610400.0,35.0
1327446000.0,0.818,0.682,8,150,1200,2,600,2201,1240610400.0,35.0
1327359600.0,0.815,0.679,8,150,1200,2,600,2201,1240610400.0,35.0
1327273200.0,0.813,0.678,8,150,1200,2,600,2201,1240610400.0,35.0
1327186800.0,0.810,0.675,8,150,1200,2,600,2201,1240610400.0,35.0
1327100400.0,0.808,0.673,8,150,1200,2,600,2201,1240610400.0,35.0
1327014000.0,0.805,0.671,8,150,1200,2,600,2201,1240610400.0,35.0
1326927600.0,0.803,0.669,8,150,1200,2,600,2201,1240610400.0,35.0
1326841200.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326754800.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326668400.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326582000.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326495600.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326409200.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326322800.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326236400.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326150000.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1326063600.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1325977200.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1325890800.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1325804400.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1325718000.0,0.800,0.667,8,150,1200,2,600,2201,1240610400.0,35.0
1325631600.0,0.733,0.611,8,150,1200,2,600,2201,1240610400.0,35.0
1325545200.0,0.666,0.555,8,150,1200,2,600,2201,1240610400.0,35.0
1325458800.0,0.599,0.499,8,150,1200,2,600,2201,1240610400.0,35.0
1325372400.0,0.532,0.443,8,150,1200,2,600,2201,1240610400.0,35.0
1330470000.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1330383600.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1330297200.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1330210800.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1330124400.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1330038000.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1329951600.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1329865200.0,2.008,1.673,8,150,1200,2,600,2201,1240610400.0,35.0
1329778800.0,1.978,1.648,8,150,1200,2,600,2201,1240610400.0,35.0
1329692400.0,1.929,1.608,8,150,1200,2,600,2201,1240610400.0,35.0
1329606000.0,1.881,1.568,8,150,1200,2,600,2201,1240610400.0,35.0
1329519600.0,1.833,1.528,8,150,1200,2,600,2201,1240610400.0,35.0
1329433200.0,1.785,1.488,8,150,1200,2,600,2201,1240610400.0,35.0
1329346800.0,1.737,1.448,8,150,1200,2,600,2201,1240610400.0,35.0
1329260400.0,1.719,1.433,8,150,1200,2,600,2201,1240610400.0,35.0
1329174000.0,1.701,1.418,8,150,1200,2,600,2201,1240610400.0,35.0
1329087600.0,1.770,1.475,8,150,1200,2,600,2201,1240610400.0,35.0
1329001200.0,1.838,1.532,8,150,1200,2,600,2201,1240610400.0,35.0
1328914800.0,1.907,1.589,8,150,1200,2,600,2201,1240610400.0,35.0
1328828400.0,1.976,1.647,8,150,1200,2,600,2201,1240610400.0,35.0
1328742000.0,2.044,1.703,8,150,1200,2,600,2201,1240610400.0,35.0
1328655600.0,2.084,1.737,8,150,1200,2,600,2201,1240610400.0,35.0
1328569200.0,2.124,1.770,8,150,1200,2,600,2201,1240610400.0,35.0
1328482800.0,2.095,1.746,8,150,1200,2,600,2201,1240610400.0,35.0
1328396400.0,2.066,1.722,8,150,1200,2,600,2201,1240610400.0,35.0
1328310000.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1328223600.0,2.009,1.674,8,150,1200,2,600,2201,1240610400.0,35.0
1328137200.0,1.980,1.650,8,150,1200,2,600,2201,1240610400.0,35.0
1328050800.0,1.980,1.650,8,150,1200,2,600,2201,1240610400.0,35.0
1333144800.0,4.119,3.433,8,150,1200,2,600,2201,1240610400.0,35.0
1333058400.0,4.209,3.508,8,150,1200,2,600,2201,1240610400.0,35.0
1332972000.0,4.246,3.538,8,150,1200,2,600,2201,1240610400.0,35.0
1332885600.0,4.283,3.569,8,150,1200,2,600,2201,1240610400.0,35.0
1332799200.0,4.501,3.751,8,150,1200,2,600,2201,1240610400.0,35.0
1332712800.0,4.682,3.902,8,150,1200,2,600,2201,1240610400.0,35.0
1332630000.0,4.863,4.053,8,150,1200,2,600,2201,1240610400.0,35.0
1332543600.0,5.045,4.204,8,150,1200,2,600,2201,1240610400.0,35.0
1332457200.0,5.226,4.355,8,150,1200,2,600,2201,1240610400.0,35.0
1332370800.0,4.877,4.064,8,150,1200,2,600,2201,1240610400.0,35.0
1332284400.0,4.528,3.773,8,150,1200,2,600,2201,1240610400.0,35.0
1332198000.0,3.998,3.332,8,150,1200,2,600,2201,1240610400.0,35.0
1332111600.0,3.467,2.889,8,150,1200,2,600,2201,1240610400.0,35.0
1332025200.0,2.960,2.467,8,150,1200,2,600,2201,1240610400.0,35.0
1331938800.0,2.453,2.044,8,150,1200,2,600,2201,1240610400.0,35.0
1331852400.0,1.946,1.622,8,150,1200,2,600,2201,1240610400.0,35.0
1331766000.0,1.969,1.641,8,150,1200,2,600,2201,1240610400.0,35.0
1331679600.0,1.992,1.660,8,150,1200,2,600,2201,1240610400.0,35.0
1331593200.0,2.015,1.679,8,150,1200,2,600,2201,1240610400.0,35.0
1331506800.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1331420400.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1331334000.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1331247600.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1331161200.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1331074800.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
1330988400.0,2.038,1.698,8,150,1200,2,600,2201,1240610400.0,35.0
